

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
109.527  000.321  000.321: require('telescope.algos.linked_list')
109.534  000.721  000.400: require('telescope.entry_manager')
109.773  000.237  000.237: require('telescope.pickers.multi')
109.798  003.885  001.253: require('telescope.pickers')
109.804  019.037  000.266: require('telescope._extensions.neorg.insert_link')
110.045  000.239  000.239: require('telescope._extensions.neorg.insert_file_link')
110.515  000.250  000.250: require('telescope.themes')
110.536  000.489  000.238: require('telescope._extensions.neorg.search_headings')
111.548  000.234  000.234: require('telescope.previewers.previewer')
112.067  000.516  000.516: require('telescope.previewers.term_previewer')
113.905  000.195  000.195: require('plenary.context_manager')
115.333  000.352  000.352: require('nvim-treesitter.info')
115.728  000.389  000.389: require('nvim-treesitter.shell_command_selectors')
115.884  001.816  001.075: require('nvim-treesitter.install')
116.146  000.259  000.259: require('nvim-treesitter.statusline')
116.606  000.458  000.458: require('nvim-treesitter.query_predicates')
116.610  002.700  000.167: require('nvim-treesitter')
116.626  003.289  000.393: require('telescope.previewers.utils')
120.194  003.565  003.565: require('plenary.filetype')
120.246  008.177  001.322: require('telescope.previewers.buffer_previewer')
120.251  009.190  000.264: require('telescope.previewers')
120.260  009.490  000.300: require('neorg.telescope_utils')
120.284  009.746  000.256: require('telescope._extensions.neorg.find_project_tasks')
120.572  000.286  000.286: require('telescope._extensions.neorg.find_context_tasks')
120.855  000.280  000.280: require('telescope._extensions.neorg.find_aof_tasks')
121.095  000.237  000.237: require('telescope._extensions.neorg.find_aof_project_tasks')
121.271  000.174  000.174: require('telescope._extensions.neorg.switch_workspace')
121.281  030.850  000.207: require('neorg.modules.core.integrations.telescope.module')
121.422  000.128  000.128: require('telescope._extensions.neorg')
137.590  016.078  016.078: require('neorg.modules.core.norg.completion.module')
137.877  000.239  000.239: require('neorg.modules.core.integrations.nvim-cmp.module')
138.242  000.262  000.262: require('neorg.modules.core.norg.manoeuvre.module')
139.376  001.027  001.027: require('neorg.modules.core.norg.concealer.module')
139.962  000.248  000.248: require('neorg.modules.core.norg.concealer.preset_basic')
141.570  000.174  000.174: require('neorg.modules.core.norg.concealer.preset_varied')
142.772  000.222  000.222: require('neorg.modules.core.norg.concealer.preset_diamond')
144.087  089.643  020.693: require('neorg-config')
144.968  000.447  000.447: require('telescope.builtin.__lsp')
144.992  000.834  000.387: require('telescope.builtin')
145.163  001.070  000.236: require('telescope-config')
145.692  000.474  000.474: require('alpha')
145.797  000.102  000.102: require('alpha.themes.dashboard')
145.851  000.686  000.110: require('alpha-config')
146.492  000.159  000.159: require('dial.util')
146.495  000.272  000.114: require('dial.augend.common')
146.499  000.507  000.235: require('dial.augend.case')
146.808  000.307  000.307: require('dial.augend.constant')
147.755  000.944  000.944: require('dial.augend.date')
148.051  000.292  000.292: require('dial.augend.hexcolor')
148.495  000.441  000.441: require('dial.augend.integer')
148.638  000.140  000.140: require('dial.augend.semver')
148.733  000.093  000.093: require('dial.augend.user')
149.039  000.304  000.304: require('dial.augend.paren')
149.163  000.121  000.121: require('dial.augend.misc')
149.166  003.265  000.117: require('dial.augend')
149.472  000.304  000.304: require('dial.config')
150.003  000.179  000.179: require('dial.handle')
150.007  000.407  000.228: require('dial.command')
150.010  000.532  000.124: require('dial.map')
150.069  004.216  000.116: require('dial-config')
150.722  000.141  000.141: require('luasnip.loaders.util')
151.843  000.141  000.141: require('luasnip.nodes.util')
151.893  000.047  000.047: require('luasnip.util.events')
151.902  000.408  000.220: require('luasnip.nodes.node')
152.184  000.280  000.280: require('luasnip.nodes.insertNode')
152.280  000.093  000.093: require('luasnip.nodes.textNode')
152.400  000.117  000.117: require('luasnip.util.mark')
152.499  000.096  000.096: require('luasnip.util.pattern_tokenizer')
152.582  000.081  000.081: require('luasnip.util.dict')
152.651  001.753  000.678: require('luasnip.nodes.snippet')
153.265  000.167  000.167: require('luasnip.util.parser.neovim_ast')
153.381  000.112  000.112: require('luasnip.util.str')
154.126  000.101  000.101: require('luasnip.util.directed_graph')
154.133  001.280  000.901: require('luasnip.util.parser.ast_utils')
154.269  000.133  000.133: require('luasnip.nodes.functionNode')
154.507  000.235  000.235: require('luasnip.nodes.choiceNode')
154.745  000.235  000.235: require('luasnip.nodes.dynamicNode')
154.812  000.065  000.065: require('luasnip.util.functions')
154.820  002.166  000.217: require('luasnip.util.parser.ast_parser')
155.096  000.274  000.274: require('luasnip.util.parser.neovim_parser')
155.102  004.303  000.109: require('luasnip.util.parser')
155.107  004.382  000.080: require('luasnip.nodes.snippetProxy')
155.114  004.766  000.243: require('luasnip.loaders.from_vscode')
164.260  014.189  009.423: require('luasnip-config')
165.289  000.326  000.326: require('null-ls.utils')
166.778  001.463  001.463: require('vim.diagnostic')
166.797  002.133  000.344: require('null-ls.config')
167.113  000.139  000.139: require('null-ls.helpers.cache')
167.392  000.277  000.277: require('null-ls.helpers.diagnostics')
167.583  000.188  000.188: require('null-ls.helpers.formatter_factory')
169.612  000.360  000.360: require('null-ls.logger')
169.812  000.194  000.194: require('null-ls.state')
169.819  002.234  001.680: require('null-ls.helpers.generator_factory')
170.209  000.184  000.184: require('null-ls.helpers.command_resolver')
170.212  000.390  000.206: require('null-ls.helpers.make_builtin')
170.381  000.168  000.168: require('null-ls.helpers.range_formatting_args_factory')
170.384  003.563  000.167: require('null-ls.helpers')
171.247  000.193  000.193: require('null-ls.methods')
171.253  000.486  000.294: require('null-ls.diagnostics')
171.266  000.881  000.395: require('null-ls.sources')
171.430  000.160  000.160: require('null-ls.builtins')
171.432  007.087  000.349: require('null-ls')
